Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
    5.53809999997901e+006    477.587499904041e-003   -149.754885455983e-003
    5.63351999997863e+006    458.090857971745e-003   -203.216102035585e-003
    5.72893999997826e+006    432.612705273447e-003   -254.240949644168e-003
    5.82435999997788e+006    401.518413754190e-003   -302.068059690885e-003
    5.91977999997750e+006    365.137738292871e-003   -346.175666697461e-003
    6.01519999997713e+006    323.924875013787e-003   -385.896149573768e-003
    6.11061999997675e+006    278.477641244481e-003   -420.692240617166e-003
    6.20603999997638e+006    229.215890313962e-003   -450.230360205083e-003
    6.30145999997600e+006    176.887041773518e-003   -474.042744202786e-003
    6.39687999997563e+006    122.037980948775e-003   -491.785011122114e-003
    6.49229999997525e+006    65.4852221249703e-003   -503.207133014693e-003
    6.58771999997487e+006    7.87710082267868e-003   -508.159156910795e-003
    6.68313999997450e+006   -49.9082735645091e-003   -506.538437091540e-003
    6.77855999997412e+006   -107.229527071915e-003   -498.404176409782e-003
    6.87397999997375e+006   -163.401637725810e-003   -483.716308535464e-003
    6.96939999997337e+006   -217.668049571992e-003   -462.748678980575e-003
    7.06481999997299e+006   -269.258041319971e-003   -435.736972379061e-003
    7.16023999997262e+006   -317.573222176629e-003   -402.931427289597e-003
    7.25565999997224e+006   -361.914793000989e-003   -364.812919963542e-003
    7.35107999997187e+006   -401.730143973353e-003   -321.875147916657e-003
    7.44649999997149e+006   -436.457428557279e-003   -274.576090226511e-003
    7.54191999997111e+006   -465.649370698735e-003   -223.551668970460e-003
    7.63733999997074e+006   -488.907313754313e-003   -169.445303547286e-003
    7.73275999997036e+006   -505.917970619741e-003   -112.930063426165e-003
    7.82817999996999e+006   -516.397929240590e-003   -54.7333991522953e-003
    7.92359999996961e+006   -520.246262779974e-003    4.40258201087486e-003
    8.01901999996923e+006   -517.299369524800e-003    63.6951238556255e-003
    8.11443999996886e+006   -507.630128281651e-003    122.388094154454e-003
    8.20985999996848e+006   -491.363573183337e-003    179.708021642206e-003
    8.30527999996811e+006   -468.587050654933e-003    234.924848038438e-003
    8.40069999996773e+006   -439.625707882944e-003    287.318085064036e-003
    8.49611999996736e+006   -404.821714423012e-003    336.134354164927e-003
    8.59153999996698e+006   -364.639585057454e-003    380.826970330459e-003
    8.68695999996660e+006   -319.527765636622e-003    420.769246064851e-003
    8.78237999996623e+006   -270.001569415716e-003    455.317088924381e-003
    8.87779999996585e+006   -216.787538077800e-003    484.156823254079e-003
    8.97321999996548e+006   -160.511338950387e-003    506.754370146360e-003
    9.06863999996510e+006   -101.917248041341e-003    522.845989543623e-003
    9.16405999996473e+006   -41.7230882275544e-003    532.191493117654e-003
    9.25947999996435e+006    19.2768115717172e-003    534.599991933728e-003
