Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
3.568459999847561994e+04	5.365593890160673674e-01	-6.961302208030556264e-03
3.634449999845301500e+04	5.369105509974921864e-01	-7.794381991847095306e-03
3.700439999843041733e+04	5.373311045050608303e-01	-7.799334160481470775e-03
3.766429999840781238e+04	5.374963594474981843e-01	-8.609153799786137956e-03
3.832419999838521471e+04	5.376405320083632589e-01	-9.087511391715659415e-03
3.898409999836260977e+04	5.381388831237844395e-01	-9.976889197161982123e-03
3.964399999834000482e+04	5.380702180148831948e-01	-1.030120125296907392e-02
4.030389999831740715e+04	5.384193091444998691e-01	-1.082826033322611438e-02
4.096379999829480221e+04	5.385517564242014998e-01	-1.128198993829542494e-02
4.162369999827220454e+04	5.387786617695919933e-01	-1.197038819625124637e-02
4.228359999824959959e+04	5.388759762372528073e-01	-1.245705875062666328e-02
4.294349999822699465e+04	5.391833185975068998e-01	-1.304089615393639982e-02
4.360339999820439698e+04	5.391598093807806746e-01	-1.360037771086865938e-02
4.426329999818179203e+04	5.392153668730482741e-01	-1.407265410368561953e-02
4.492319999815919437e+04	5.393879211335227408e-01	-1.460194847873509498e-02
4.558309999813658942e+04	5.395080734576148673e-01	-1.526232926798640720e-02
4.624299999811398447e+04	5.394768150584158262e-01	-1.564312266202307761e-02
4.690289999809138681e+04	5.398947498042543369e-01	-1.638360981072110867e-02
4.756279999806878186e+04	5.400465274486319078e-01	-1.695520044749961389e-02
4.822269999804618419e+04	5.402867872869333565e-01	-1.740633118575117891e-02
4.888259999802357925e+04	5.401224597752594114e-01	-1.785035594817042937e-02
4.954249999800097430e+04	5.402222241048124651e-01	-1.827168814214484571e-02
5.020239999797837663e+04	5.405971482159616093e-01	-1.888537122334220733e-02
5.086229999795577169e+04	5.406308150405207957e-01	-1.949492147134267508e-02
5.152219999793317402e+04	5.406045704440655131e-01	-1.996510494279587697e-02
5.218209999791056907e+04	5.407453276207767612e-01	-2.053920907220850578e-02
5.284199999788796413e+04	5.410287478668144301e-01	-2.101659821325237154e-02
5.350189999786536646e+04	5.408971670156997869e-01	-2.138699731320807887e-02
5.416179999784276151e+04	5.410148321762768830e-01	-2.215354955093867123e-02
5.482169999782016384e+04	5.410233410088688411e-01	-2.257771306328467883e-02
5.548159999779755890e+04	5.412010999899430352e-01	-2.312296292189278818e-02
5.614149999777495395e+04	5.411742609008345362e-01	-2.356425136224606781e-02
5.680139999775235628e+04	5.412668736637831213e-01	-2.409582689781325851e-02
5.746129999772975134e+04	5.414327471642897960e-01	-2.471431162051375072e-02
5.812119999770715367e+04	5.414107208171788921e-01	-2.515263123152379834e-02
5.878109999768454873e+04	5.415180273725579418e-01	-2.564004467313323737e-02
5.944099999766194378e+04	5.416388459573168168e-01	-2.622082336237151201e-02
6.010089999763934611e+04	5.417160955778683729e-01	-2.669697092805500827e-02
6.076079999761674117e+04	5.415974471253632849e-01	-2.717427049669069589e-02
6.142069999759414350e+04	5.417640364327653835e-01	-2.768559115161618039e-02
6.208059999757153855e+04	5.417936833865423241e-01	-2.818317369247496165e-02
6.274049999754894088e+04	5.419250968171999139e-01	-2.878338592853787320e-02
6.340039999752633594e+04	5.419867618331849490e-01	-2.919158214819212241e-02
6.406029999750373099e+04	5.418908452979543933e-01	-2.967473890591686841e-02
6.472019999748113332e+04	5.420359919681533301e-01	-3.016725014646942302e-02
6.538009999745852838e+04	5.419807772570306437e-01	-3.065057450695080066e-02
6.603999999743592343e+04	5.420510978141365177e-01	-3.124125480047938719e-02
6.669989999741331849e+04	5.421386185953193104e-01	-3.184275589359183978e-02
6.735979999739072809e+04	5.422982987119030485e-01	-3.220180017811782869e-02
6.801969999736812315e+04	5.420564527705131752e-01	-3.270920455651446512e-02
6.867959999734551820e+04	5.422884027159878828e-01	-3.316776481901258927e-02
