Frequency [Hz]	Real_part [Hz/V]	Imag_part [Hz/V]
7.756124999991342425e+06	-1.807259887346930429e+07	-5.566953041222809814e+06
7.881062499991209246e+06	-1.905295257671949640e+07	3.493373698178135324e+06
8.005999999991076067e+06	-1.560036734182696417e+07	1.233027388115702011e+07
8.130937499990941957e+06	-8.041501017652973533e+06	1.857662047619323432e+07
8.255874999990808778e+06	1.813605136718603084e+06	2.062463372516613081e+07
8.380812499990675598e+06	1.174924766656876728e+07	1.735275833159842342e+07
8.505749999990541488e+06	1.893976697648691759e+07	9.413076136233547702e+06
8.630687499990407377e+06	2.113261754793164134e+07	-1.182568138697325019e+06
8.755624999990275130e+06	1.753195055591803789e+07	-1.148728761414577253e+07
8.880562499990141019e+06	9.272047803025219589e+06	-1.849137930510039628e+07
9.005499999990006909e+06	-1.347946867575670825e+06	-2.010742159716762975e+07
9.130437499989874661e+06	-1.096192375573697127e+07	-1.606473310398085974e+07
9.255374999989740551e+06	-1.680148433772645518e+07	-7.947318248889171518e+06
9.380312499989606440e+06	-1.752237198787287250e+07	1.503828968556048349e+06
9.505249999989474192e+06	-1.348167778158067353e+07	9.424728240462940186e+06
9.630187499989340082e+06	-6.564982006574014202e+06	1.378379137685106322e+07
9.755124999989205971e+06	8.681845991919938242e+05	1.405890345914251916e+07
9.880062499989073724e+06	6.928437480323518626e+06	1.095990825935150124e+07
1.000499999998893961e+07	1.034500957993702404e+07	5.879451163327698596e+06
1.012993749998880550e+07	1.081365850740276463e+07	2.870938064212514437e+05
1.025487499998867325e+07	8.919911608150361106e+06	-4.318516067325777374e+06
1.037981249998853914e+07	5.501259015420314856e+06	-7.194867457665599883e+06
1.050474999998840503e+07	1.524771971129485406e+06	-8.087968449265346862e+06
1.062968749998827092e+07	-2.016502382612967864e+06	-7.247743827351877466e+06
1.075462499998813868e+07	-4.546410623126656748e+06	-5.165074648853676394e+06
1.087956249998800457e+07	-5.781714012246015482e+06	-2.500084375666205771e+06
1.100449999998787045e+07	-5.741650890912934206e+06	2.554846195895054552e+05
1.112943749998773821e+07	-4.653285874791322276e+06	2.428560221458745189e+06
1.125437499998760410e+07	-2.936587333353703376e+06	3.850151417555745225e+06
1.137931249998746999e+07	-9.997672282654719893e+05	4.373908118009287864e+06
1.150424999998733774e+07	8.581452583920439938e+05	4.009443277959557250e+06
1.162918749998720363e+07	2.251235957920229062e+06	3.055707110434211325e+06
1.175412499998706952e+07	3.086303653699212242e+06	1.727947889089383418e+06
1.187906249998693727e+07	3.244131258326342329e+06	2.849935580017653992e+05
1.200399999998680316e+07	2.835157275646663737e+06	-9.630253942922601709e+05
1.212893749998666905e+07	2.050864461163526867e+06	-1.958151911621956155e+06
1.225387499998653680e+07	1.062837769373147050e+06	-2.383124608320730738e+06
1.237881249998640269e+07	-2.322508445021757871e+04	-2.450182673860946205e+06
1.250374999998626858e+07	-9.342197183957420057e+05	-2.094987247742410749e+06
1.262868749998613447e+07	-1.605844774684293894e+06	-1.447814089599133004e+06
1.275362499998600222e+07	-1.923534800378426677e+06	-6.818665902820018819e+05
1.287856249998586811e+07	-1.917417233108316781e+06	1.313588290295064216e+05
1.300349999998573400e+07	-1.621748189283423359e+06	7.963746801078612916e+05
1.312843749998560175e+07	-1.082422245418835664e+06	1.302107733081861399e+06
1.325337499998546764e+07	-4.432770009986117948e+05	1.539755866665989393e+06
1.337831249998533353e+07	1.504338905340649071e+05	1.510807214735752204e+06
