Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
1.228874999968709890e+06	7.517920242895940186e-01	-5.794801962569494647e-01
1.241312499968394404e+06	7.470943741658635506e-01	-5.844561598073828579e-01
1.253749999968078919e+06	7.439651307276176073e-01	-5.896567277365045712e-01
1.266187499967763666e+06	7.406796119004338541e-01	-5.945974869815933150e-01
1.278624999967448181e+06	7.372788584771586828e-01	-5.999800909760839573e-01
1.291062499967132695e+06	7.336670457531621059e-01	-6.047456545166490782e-01
1.303499999966817209e+06	7.288655652769732152e-01	-6.097137117686920460e-01
1.315937499966501957e+06	7.255106135280218194e-01	-6.142518528655153132e-01
1.328374999966186471e+06	7.207725105972158097e-01	-6.188532086159354018e-01
1.340812499965870986e+06	7.157886791596403953e-01	-6.229794720493131432e-01
1.353249999965555500e+06	7.125750693906882649e-01	-6.285670310978093145e-01
1.365687499965240248e+06	7.090869925608894730e-01	-6.334751462934178345e-01
1.378124999964924762e+06	7.043745438645154788e-01	-6.390239272037199214e-01
1.390562499964609277e+06	7.003181736059610474e-01	-6.433610020556554954e-01
1.402999999964294024e+06	6.964617082239509260e-01	-6.478295509550116016e-01
1.415437499963978538e+06	6.917410374975841991e-01	-6.523097328902534020e-01
1.427874999963663053e+06	6.872889790512144437e-01	-6.573100884166631630e-01
1.440312499963347567e+06	6.825566976454349177e-01	-6.614384619259999765e-01
1.452749999963032315e+06	6.784019819273885421e-01	-6.663447439146812368e-01
1.465187499962716829e+06	6.741062017035635012e-01	-6.717255666133654657e-01
1.477624999962401344e+06	6.705795547321493633e-01	-6.760175460244248757e-01
1.490062499962085858e+06	6.655546218627436117e-01	-6.801299409075585167e-01
1.502499999961770605e+06	6.611299818675958617e-01	-6.852880783212822458e-01
1.514937499961455120e+06	6.567781858560824970e-01	-6.891983899513486334e-01
1.527374999961139634e+06	6.505215361822461739e-01	-6.931079627666121290e-01
1.539812499960824149e+06	6.467909637654307708e-01	-6.980874580566975851e-01
1.552249999960508896e+06	6.427818804549236820e-01	-7.025910416906172573e-01
1.564687499960193411e+06	6.382828091546486338e-01	-7.068548472382250036e-01
1.577124999959877925e+06	6.338599692460861190e-01	-7.114961531156979158e-01
1.589562499959562672e+06	6.289236902916995886e-01	-7.157611663834293481e-01
1.601999999959247187e+06	6.234359224351223583e-01	-7.194001146920535605e-01
1.614437499958931701e+06	6.188188624951350691e-01	-7.232446859200793998e-01
1.626874999958616216e+06	6.133671559162863218e-01	-7.273957996469038179e-01
1.639312499958300963e+06	6.086150944825992060e-01	-7.312661939616402762e-01
1.651749999957985478e+06	6.047826163973135660e-01	-7.365495586582221366e-01
1.664187499957669992e+06	6.000737308456249863e-01	-7.411932422063838288e-01
1.676624999957354506e+06	5.947532747040304990e-01	-7.448124424173508951e-01
1.689062499957039254e+06	5.897032895347601444e-01	-7.483447673096403907e-01
1.701499999956723768e+06	5.849150218401563128e-01	-7.534257001206597915e-01
1.713937499956408283e+06	5.801744794482147638e-01	-7.560230175051919632e-01
1.726374999956092797e+06	5.742227910472555985e-01	-7.601429888387452039e-01
1.738812499955777545e+06	5.696971167543606329e-01	-7.641967261052786675e-01
1.751249999955462059e+06	5.642233511667553714e-01	-7.686732096335100461e-01
1.763687499955146573e+06	5.600526127037084301e-01	-7.728730314419225422e-01
1.776124999954831088e+06	5.557426174554036535e-01	-7.768532869780960803e-01
1.788562499954515835e+06	5.499651493938458868e-01	-7.798985958888233760e-01
1.800999999954200350e+06	5.446666334047846059e-01	-7.833531924068575236e-01
1.813437499953884864e+06	5.394167770149004282e-01	-7.873121350791563167e-01
1.825874999953569612e+06	5.341375432654594801e-01	-7.907615119674277215e-01
1.838312499953254126e+06	5.291750170032158973e-01	-7.947304598598600167e-01
1.850749999952938640e+06	5.235686496534134315e-01	-7.988199733620596765e-01
1.863187499952623155e+06	5.191626485255645962e-01	-8.027614157081518487e-01
1.875624999952307902e+06	5.139232005098948175e-01	-8.059862580501857554e-01
1.888062499951992417e+06	5.080569233039806676e-01	-8.096738136150636311e-01
1.900499999951676931e+06	5.024421655008907139e-01	-8.122889975284856012e-01
1.912937499951361446e+06	4.970306392808384044e-01	-8.160360693431271129e-01
1.925374999951046193e+06	4.923593893981593195e-01	-8.196235879158445536e-01
1.937812499950730707e+06	4.867345571497868617e-01	-8.234058647747265480e-01
1.950249999950415222e+06	4.817679687720464732e-01	-8.273847695347810172e-01
1.962687499950099736e+06	4.759512310528242751e-01	-8.308350785619613710e-01
1.975124999949784484e+06	4.702818636658769313e-01	-8.341292258690652384e-01
1.987562499949468998e+06	4.644547625109569644e-01	-8.366129847198786607e-01
